cod_municipio,anio,cod_departamento,nombre_departamento,nombre_municipio,pobl_rur,pobl_urb,pobl_tot,discapital,altura,areaoficialhas,indrural,DF_desemp_fisc,y_total,y_corr,y_transf,y_cap_regalias,y_cap_transf,g_cap_FBKF,MDM,SGP_total,hectareas_formalizadas,hectareas_adjudicadas,n_registros_formalizacion,n_registros_adjudicacion,n_asesinatos_sel_civiles_cmh,n_lideres_tierras_amb_cmh,n_homicidios_firmantes_paz,hectareas_coca,n_extorsiones,vrf_peq_productor,vrf_grande_productor,vrf_mediano_productor,vrf_mujer_rural,nuf_peq_productor,nuf_mujer_rural,vrf_credito_total,n_acciones_belicas,n_homicidios_md,n_homicidios_md_hombres,n_homicidios_md_mujeres,n_homicidios_md_rural,n_homicidios_md_urbano,n_lideres_asesinados_SD,n_lideres_rurales_SD,pdet,pnis,tasa_asesinatos_sel_civiles,tasa_lideres_tierras_amb,tasa_firmantes_paz,tasa_homicidios_md,tasa_homicidios_md_hombres,tasa_homicidios_md_mujeres,tasa_homicidios_md_rural,tasa_homicidios_md_urbano,prop_homicidios_md_rural,ln_homicidios_md,tasa_extorsiones,SGP_total_mill,vrf_peq_pc,vrf_grande_pc,vrf_mediano_pc,vrf_credito_total_pc,tasa_acciones_belicas,ln_acciones_belicas,tasa_lideres_asesinados_SD,tasa_lideres_rurales_SD,ln_lideres_asesinados_SD
05001,2012,05,Antioquia,Medellín,31877,2361134,2393011,0,1475,38700,0.01332087442278862,83.22,3254946.0760000004,1432734.2680000002,51280.1,0,824082.833,1135220.165,NA,759888128694,0,0,0,0,18,9,0,0,209,1205.64411,174851.923943,10310.72137,0,164,0,186368.289423,3,1229,1150,79,63,1166,9,0,0,0,0.7521904412474494,0.3760952206237247,0,51.357891794061956,48.056611524142596,3.301280269919361,2.6326665443660726,48.72522524969589,0.05126118795768918,7.114769448366463,8.733766790039828,759888.128694,0.503818875049049,73.0677476798059,4.308681142711003,77.88024769756596,0.12536507354124155,1.3862943611198906,0.3760952206237247,0,2.302585092994046
05001,2013,05,Antioquia,Medellín,31092,2386233,2417325,0,1475,38700,0.012862151488661766,84.82,3765280.165,1556242.661,50160.289,104014.419,971325.61,1320714.105,NA,814131823457,0,0,0,0,8,4,0,0,457,1313.031363,321684.432108,12525.486255,0,186,0,335522.94972599996,0,899,835,64,49,850,3,0,0,0,0.330944328958663,0.1654721644793315,0,37.18986896672975,34.542314335060446,2.647554631669304,2.027034014871811,35.162834951857945,0.054505005561735265,6.802394763324311,18.905194791763623,814131.823457,0.543175354162142,133.07454815053828,5.181548304427415,138.79927180912784,0,0,0.12410412335949862,0,1.3862943611198906
05001,2014,05,Antioquia,Medellín,30358,2410765,2441123,0,1475,38700,0.012436079792678356,85.49787070457629,5347402.036,1654232.6069999998,63265.1,0,1019818.389,2167382.353,NA,853980497243,0,0,0,0,7,0,0,0,310,853.731017,345991.771595,8106.734129,0,95,0,354952.236741,0,643,596,47,44,599,0,0,0,0,0.2867532688848534,0,0,26.340335984708677,24.414992607910374,1.9253433767983017,1.802449118704793,24.537886866003884,0.06842923794712286,6.467698726104354,12.69907333632922,853980.497243,0.3497287998187719,141.73467358875402,3.320903587815936,145.40530597638875,0,0,0,0,0
05001,2015,05,Antioquia,Medellín,29675,2434647,2464322,0,1475,38700,0.012041851878166199,83.73310682859359,4174454.5,1788479.125,65821.0859375,0,1119621.75,1010917.4375,NA,891653569917,0,0,0,0,9,3,0,0,243,905.045975,643263.076327,16579.013861,0,99,0,660747.136163,0,479,438,41,18,461,4,0,0,0,0.3652120136897694,0.12173733789658982,0,19.437394950822174,17.773651332902112,1.6637436179200606,0.7304240273795388,18.706970923442633,0.037578288100208766,6.173786103901937,9.860724369623775,891653.569917,0.3672596255684119,261.0304482640662,6.727616707962677,268.1253245975972,0,0,0.16231645052878643,0,1.6094379124341003
05001,2016,05,Antioquia,Medellín,29043,2457680,2486723,0,1475,38700,0.011679225601255894,81.15,4258810.791,1914416.1670000001,66591.164,89.208,1195678.055,823103.603,80.77746805803275,963269289851.765,0,0,0,0,1,1,0,0,336,1466.244519,885002.62683,38929.733095,0,111,0,925398.604444,0,530,491,39,33,497,1,0,0,0,0.040213566207414335,0.040213566207414335,0,21.3131900899296,19.744861007840438,1.568329082089159,1.327047684844673,19.986142405084923,0.062264150943396226,6.274762021241939,13.511758245691215,963269.289851765,0.5896292104106489,355.89111727763805,15.655033992527517,372.1357804805763,0,0,0.040213566207414335,0,0.6931471805599453
05001,2017,05,Antioquia,Medellín,28462,2479990,2508452,0,1475,38700,0.011346439830958843,83.61254793237484,5217938.896533966,2068250.896484375,78510.240234375,19.875049591064453,1306877,1272515.375,71.59085050761453,1022946430104,0,0,0,0,8,4,0,0,488,1750.410975,1128063.356084,68323.51445973,0,198,0,1198137.2815187299,20,572,513,59,22,550,4,0,0,0,0.3189217892150219,0.15946089460751095,0,22.802907928874063,20.450859733413274,2.352048195460786,0.8770349203413101,21.92587300853275,0.038461538461538464,6.35088571671474,19.454229142116333,1022946.430104,0.6978052500107637,449.70497983776454,27.237321846194384,477.6401069339696,0.7973044730375547,3.044522437723423,0.15946089460751095,0,1.6094379124341003
05001,2018,05,Antioquia,Medellín,44730,2382399,2427129,0,1475,38700,0.01842918060719967,83.10742371,5379906.721258,2175644.757441,78390.10939900001,0,1406475.549035,1579017.8304,80.58439106808169,1052478725966,0,0,0,0,3,0,0,0,578,2456.677724,1067051.498531,62708.499765,26,210,4,1132216.6760200001,4,625,584,41,35,590,2,0,0,0,0.12360282457174712,0,0,25.750588452447314,24.06134984996677,1.6892386024805437,1.4420329533370497,24.308555499110263,0.056,6.439350371100098,23.81414420082328,1052478.725966,1.0121743524963032,439.6352639398236,25.836492318702465,466.4839306110224,0.16480376609566283,1.6094379124341003,0.08240188304783141,0,1.0986122886681098
05001,2019,05,Antioquia,Medellín,44075,2439470,2483545,0,1475,38700,0.017746809870004654,81.91755805259537,5538057.473071,2374490.805416,84757.41284100001,0,1538352.679155,992833.849094,83.5958583507492,1184246035289,0,0,0,0,3,1,2,0,648,1866.511897,1386006.820561,110496.0921,0,150,0,1498369.424558,0,576,527,49,37,539,1,0,0,0,0.12079507317161559,0.04026502439053853,0.08053004878107706,23.19265404895019,21.219667853813803,1.9729861951363878,1.4898059024499255,21.702848146500266,0.0642361111111111,6.3578422665081,26.09173580506896,1184246.035289,0.7515514705793533,558.0759843534141,44.49127843465691,603.3188142586504,0,0,0.04026502439053853,0,0.6931471805599453
05001,2020,05,Antioquia,Medellín,43260,2490164,2533424,0,1475,38700,0.017075704410672188,81.51,5668615.796576001,2204221.7004150003,83907.963248,0,1725467.283038,1010950.220586,82.3163070678711,1283372591767,0,0,0,0,2,0,0,0,634,1952.444942,1830085.9141838,89204.11461,0,191,0,1921242.4737358002,0,366,335,31,13,353,2,0,0,0,0.07894454303740708,0,0,14.446851375845498,13.223210958765685,1.2236404170798099,0.513139529743146,13.93371184610235,0.03551912568306011,5.905361848054571,25.025420142858046,1283372.591767,0.770674368759434,722.3764810721774,35.2108903247147,758.3580457656517,0,0,0.07894454303740708,0,1.0986122886681098
05001,2021,05,Antioquia,Medellín,42759,2530461,2573220,0,1475,38700,0.016616923734545708,82.69703275752671,5976296.992057,2443479.821058099,98082.8727521,0,1836553.202894,736500.048549,83.68543243408203,1400267393088,0,0,0,0,2,0,1,0,636,1953.62512,2331908.218798,94993.814537,65.9,176,5,2428855.658455,0,391,359,32,26,365,2,1,0,0,0.07772363031532477,0,0.038861815157662384,15.194969726645992,13.951391641600795,1.2435780850451963,1.0104071940992219,14.18456253254677,0.06649616368286446,5.971261839790462,24.716114440273273,1400267.393088,0.7592141830080599,906.221861635616,36.91632061658156,943.8973964352057,0,0,0.07772363031532477,0.038861815157662384,1.0986122886681098
